id,curr_age,gender,ann_income,dt_maint,age_car,income_bracket,purchasing_probability_pct,pur_prediction
45389F82KX,38,1,1465158.0,2019-01-13,169,High,46.66,0
68241U65JO,58,0,1821776.0,2018-04-08,449,High,80.21,1
43891X14RC,59,0,1846298.0,2018-12-03,210,High,60.29,0
34587D00DA,58,0,1144551.0,2019-01-08,174,Medium,39.37,0
88616I11UH,36,1,1024701.0,2019-04-01,91,Medium,29.25,0
49122J54NF,29,0,979350.0,2018-06-09,387,Medium,64.54,0
61385H03VO,50,0,1661522.0,2018-11-24,219,High,59.01,0
58936R14SF,65,1,802717.0,2018-10-21,253,Low,32.24,0
86220V54VN,49,1,1478918.0,2018-08-10,325,High,60.17,0
63676E09UO,25,1,1029303.0,2017-08-11,689,Medium,84.96,1
75890J70NO,64,1,1868972.0,2018-08-10,325,High,65.63,0
68606C11GV,56,0,1744071.0,2018-12-17,196,High,57.15,0
56034R95VA,48,0,1608586.0,2018-09-29,275,High,63.77,0
68007O74VG,53,0,626963.0,2018-05-01,426,Low,53.7,0
72851J39QG,35,0,793369.0,2018-06-11,385,Low,58.38,0
67768Z35EO,60,1,493015.0,2018-09-28,276,Low,28.77,0
82032Y17OQ,53,0,921829.0,2018-07-04,362,Low,54.49,0
25932M56LL,58,1,1071450.0,2018-08-06,329,Medium,48.02,0
77296E81ZM,48,0,1677550.0,2019-02-20,131,High,50.88,0
00749K03FQ,46,0,1421375.0,2016-12-02,941,High,95.98,1
92419C68FB,65,1,665345.0,2019-06-28,3,Low,12.74,0
21589V78WG,56,0,535036.0,2018-08-13,322,Low,39.89,0
75360O80DW,39,0,1579580.0,2018-09-12,292,High,66.89,0
21179R01JX,47,0,1318882.0,2018-11-09,234,Medium,52.8,0
78827Q35LL,49,1,826528.0,2018-04-16,441,Low,55.88,0
93058B29OA,33,0,1250052.0,2018-06-08,388,Medium,69.72,0
57288I36BN,28,1,718407.0,2019-05-27,35,Low,20.73,0
24427C44HL,60,0,1099822.0,2019-01-30,152,Medium,35.66,0
57769A43WJ,50,0,1444567.0,2018-03-10,478,High,77.28,1
55244P21JL,45,1,1383743.0,2018-03-12,476,High,72.88,0
10878C69QP,60,1,1274520.0,2018-10-01,273,Medium,46.79,0
00100T87PV,50,1,1555386.0,2018-02-07,509,High,77.67,1
10657V33HY,36,0,1779657.0,2017-01-04,908,High,97.08,1
35568Z72YA,46,1,1568521.0,2018-07-02,364,High,66.78,0
76439P77YY,28,0,1220202.0,2018-10-27,247,Medium,56.7,0
05814Y15VO,37,1,843116.0,2018-06-01,395,Low,54.72,0
96427W84TS,29,1,1011093.0,2019-06-14,17,Medium,24.4,0
95829F20IU,54,1,1751467.0,2018-09-22,282,High,61.2,0
78491J25YN,50,1,1481056.0,2018-03-09,479,High,74.0,0
08349R64SN,51,1,1023285.0,2018-10-26,248,Medium,40.36,0
77707I89CB,42,1,1008314.0,2018-05-30,397,Medium,57.73,0
01439E69TI,37,1,946545.0,2017-03-08,845,Medium,89.75,1
37023S20ZM,46,1,1362399.0,2018-09-18,286,High,54.1,0
08736E08DD,30,0,1365515.0,2018-02-01,515,High,81.94,1
83877U15TB,42,1,1157465.0,2018-04-20,437,Medium,65.23,0
65904G65YK,34,0,768129.0,2018-09-04,300,Low,49.23,0
61214G80ZN,55,1,879113.0,2019-03-04,119,Low,24.66,0
85691K09NH,40,1,897965.0,2019-01-19,163,Low,31.99,0
84131A41RV,47,0,1185438.0,2019-03-13,110,Medium,36.83,0
34686I34DX,50,1,893051.0,2018-12-06,207,Low,33.57,0
49913C08MC,25,0,1477919.0,2018-07-03,363,High,74.0,0
45447H02JK,28,1,645555.0,2016-10-07,997,Low,93.06,1
96590B86BM,60,0,616767.0,2017-02-17,864,Low,86.86,1
11291R80DZ,41,1,1378658.0,2019-03-06,117,High,38.46,0
37189N42UN,29,0,1493909.0,2019-02-24,127,High,50.89,0
70335V50SH,55,1,1080001.0,2019-05-19,43,Medium,22.61,0
05274S84AQ,46,1,1039901.0,2018-07-03,363,Medium,53.97,0
06133O40VE,60,0,1779440.0,2018-08-29,306,High,67.68,0
57289T50EW,61,1,1878164.0,2018-02-25,491,High,79.9,1
73937S12OW,52,1,847439.0,2018-09-03,301,Low,41.14,0
89927G30NR,56,1,1234943.0,2017-10-07,632,Medium,79.75,1
31470X06BS,54,0,670864.0,2017-09-21,648,Low,75.17,1
57578P16IZ,35,0,638483.0,2019-05-05,57,Low,23.4,0
98708I08VX,47,0,1727612.0,2018-05-21,406,High,77.6,1
36958P04EX,54,1,907788.0,2018-09-24,280,Low,39.98,0
53758C39CR,48,1,1082487.0,2017-02-15,866,Medium,90.7,1
99157G28PR,62,1,1170677.0,2019-04-18,74,Medium,25.27,0
87076V59OJ,25,0,620180.0,2018-08-23,312,Low,49.14,0
76764B06UP,47,0,1761085.0,2019-04-07,85,High,48.46,0
27675L93OS,63,0,1661463.0,2019-06-06,25,High,35.81,0
69692I70LT,35,0,699810.0,2018-12-13,200,Low,37.11,0
46154W39MF,59,0,1614879.0,2018-11-20,223,High,55.91,0
52381S90GM,52,0,539135.0,2019-01-25,157,Low,25.9,0
10457N39YE,62,1,565738.0,2018-11-13,230,Low,26.0,0
40731K15FZ,46,1,1182844.0,2018-11-17,226,Medium,43.35,0
06173N47SN,38,0,1491178.0,2018-12-10,203,High,56.31,0
18532K46RW,62,0,1389961.0,2017-11-20,588,High,81.75,1
18976W76SJ,29,1,1118045.0,2018-11-26,217,Medium,45.3,0
97566A37BR,47,1,1241037.0,2019-02-03,148,Medium,36.72,0
68707E12OX,34,1,1177567.0,2018-09-18,286,Medium,52.64,0
30931S34VN,64,1,1497818.0,2019-04-25,67,High,30.92,0
69546Q66TX,34,0,1442841.0,2017-02-09,872,High,95.42,1
59999L00PL,26,1,1149955.0,2017-11-20,588,Medium,80.57,1
05678X36FB,50,0,1729710.0,2018-04-17,440,High,79.49,1
53776P44MZ,50,1,842591.0,2016-11-03,970,Low,92.03,1
42983W11JW,32,0,728377.0,2018-10-01,273,Low,45.95,0
20545D80RB,61,0,772565.0,2017-08-04,696,Low,79.18,1
11046E28HA,54,1,1550310.0,2019-03-12,111,High,38.69,0
93609N63NP,60,1,1993500.0,2019-06-19,12,High,38.01,0
80643O81AC,31,1,989465.0,2019-01-01,181,Medium,37.98,0
00393E86UP,41,1,1532052.0,2019-04-03,89,High,39.37,0
46408E72XM,45,0,1847655.0,2018-01-23,524,High,86.73,1
27402X64HA,53,0,1850319.0,2018-09-22,282,High,68.69,0
05626Y20CY,55,1,396146.0,2018-07-15,351,Low,34.56,0
93004L90PZ,63,1,965953.0,2016-11-11,962,Medium,91.68,1
98443X71XZ,52,0,1295563.0,2018-03-15,473,Medium,73.72,0
25775Y84LZ,29,0,1061035.0,2017-04-16,806,Medium,91.89,1
35718W19QL,41,1,1377534.0,2018-08-25,310,High,58.25,0
29231R10EV,33,0,665540.0,2018-09-24,280,Low,44.83,0
48748J87TG,37,1,869555.0,2018-10-20,254,Low,40.82,0
11807D05SY,64,1,478022.0,2017-06-21,740,Low,72.5,0
21905X90RO,53,1,942670.0,2018-05-17,410,Low,54.53,0
10580L29VV,53,1,1589847.0,2018-03-07,481,High,75.63,1
81228D18BO,48,1,1286785.0,2017-03-15,838,Medium,91.43,1
34057Z27MM,47,0,1126751.0,2018-02-20,496,Medium,73.3,0
12167K01BK,54,0,846810.0,2018-07-19,347,Low,50.77,0
06265P28JU,44,1,1323464.0,2017-05-08,784,Medium,90.22,1
82049Z51KX,46,0,1831145.0,2018-04-10,447,High,82.19,1
83239R16ZW,47,0,825272.0,2018-08-04,331,Low,50.43,0
49558V29YX,53,1,1080442.0,2017-07-10,721,Medium,83.44,1
40464Z35MR,43,1,974609.0,2018-08-20,315,Medium,48.12,0
53644Q78VY,45,1,964490.0,2018-06-20,376,Medium,53.68,0
69142F16CA,36,0,1551754.0,2018-03-13,475,High,81.31,1
60492C50GZ,65,1,1723412.0,2018-02-26,490,High,76.44,1
71614Z31OM,41,1,926999.0,2018-05-22,405,Low,56.79,0
03416B32RP,64,0,1779203.0,2018-10-12,262,High,62.55,0
11077F22QA,50,0,1718761.0,2017-10-30,609,High,88.57,1
08303G30SE,29,0,1488480.0,2018-05-07,420,High,77.76,1
44241A27AO,51,1,892474.0,2018-11-17,226,Low,35.1,0
71374A23QL,34,0,667843.0,2018-11-13,230,Low,39.55,0
45803L99EN,36,1,1331330.0,2019-06-26,5,High,28.26,0
27196C53UI,51,0,1930536.0,2019-03-27,96,High,52.82,0
48370R51HV,63,0,590030.0,2019-05-14,48,Low,17.2,0
70649O76MN,63,0,1835340.0,2017-07-13,718,High,92.28,1
82256A49ZW,43,1,1222677.0,2019-03-03,120,Medium,34.59,0
38455W93II,43,0,1230491.0,2018-03-06,482,Medium,75.01,1
56315E12TT,65,0,1456124.0,2018-10-21,253,High,53.44,0
05941J55YU,59,0,1881539.0,2019-02-19,132,High,53.2,0
25776I29OU,28,1,766852.0,2019-06-01,30,Low,21.2,0
34172K69PZ,57,1,1666075.0,2019-02-05,146,High,44.29,0
72874V43ML,27,1,802199.0,2019-02-03,148,Low,31.55,0
97873N72SX,29,0,1132280.0,2018-11-04,239,Medium,53.41,0
26516G80GC,51,1,712229.0,2018-12-07,206,Low,29.31,0
40274P55MR,29,0,806350.0,2018-10-18,256,Low,46.95,0
54543P85JE,33,1,534381.0,2018-03-09,479,Low,56.71,0
19722J93DS,41,1,1385414.0,2017-11-05,603,High,82.67,1
37540D78FC,42,0,1028198.0,2018-11-20,223,Medium,45.65,0
13796B47JK,59,1,1984906.0,2018-05-18,409,High,76.28,1
29917A71GR,63,1,1888073.0,2018-09-27,277,High,61.7,0
59447S66XJ,25,0,699550.0,2018-05-20,407,Low,60.87,0
64886B88KU,41,0,874875.0,2018-07-16,350,Low,55.25,0
46269H09RK,41,1,1319138.0,2018-09-07,297,Medium,55.48,0
45336V08BD,62,0,678474.0,2018-02-21,495,Low,59.67,0
97983J80LU,34,0,1471429.0,2018-12-06,207,High,57.27,0
51286U10JL,38,1,954141.0,2019-04-27,65,Medium,25.27,0
43022H92ZM,25,0,753347.0,2016-11-07,966,Low,94.41,1
58346H15ZX,61,0,1295814.0,2018-07-01,365,Medium,61.9,0
23166I63YJ,54,1,476314.0,2018-04-20,437,Low,45.31,0
52462Y27ZY,35,1,971872.0,2018-12-20,193,Medium,37.73,0
70920O55KX,54,0,571604.0,2018-12-27,186,Low,28.52,0
98709G20PI,26,1,1085575.0,2019-05-14,48,Medium,29.03,0
55930E81CD,39,0,1653474.0,2019-06-09,22,High,41.4,0
36210A90KQ,64,1,1766409.0,2019-02-04,147,High,45.05,0
62781M09BY,26,0,850135.0,2018-03-31,457,Low,68.83,0
77048U79FJ,41,1,1213824.0,2018-06-07,389,Medium,62.17,0
81935K44NP,33,0,1005254.0,2018-07-08,358,Medium,61.34,0
16888Q61UV,62,1,439156.0,2018-02-04,512,Low,50.03,0
65928O21SR,49,1,1184486.0,2019-05-25,37,Medium,25.24,0
20018U08XQ,29,0,1358450.0,2018-07-16,350,High,69.6,0
56924D67EA,41,1,1397190.0,2018-04-23,434,High,70.47,0
29564G41BG,50,0,1847675.0,2018-01-20,527,High,86.25,1
71896F80PA,26,1,557754.0,2018-08-13,322,Low,42.9,0
44742A00BG,59,1,598371.0,2019-01-15,167,Low,22.38,0
11658J08WM,64,0,669219.0,2018-12-23,190,Low,28.69,0
55452O90YS,26,0,1042011.0,2018-11-13,230,Medium,51.0,0
74294H58DY,63,1,750529.0,2019-01-18,164,Low,24.14,0
15977K59ZH,42,0,1655520.0,2018-11-04,239,High,62.88,0
95668C24JX,65,0,574216.0,2018-05-25,402,Low,46.67,0
07424U03NQ,65,1,904445.0,2019-02-19,132,Low,24.16,0
01981T29OJ,46,1,881425.0,2018-02-16,500,Low,63.87,0
29186W84KX,52,0,414489.0,2018-03-17,471,Low,53.29,0
92243B76RF,28,1,934817.0,2018-12-15,198,Low,39.11,0
28205S80HO,43,0,1480846.0,2016-09-15,1019,High,97.32,1
37818Z75NC,42,1,1208115.0,2019-02-25,126,Medium,35.07,0
67259S33ZM,37,1,1023200.0,2018-08-30,305,Medium,49.91,0
27953J71OC,36,1,1026002.0,2019-04-10,82,Medium,28.51,0
58295S87JC,41,1,1527470.0,2016-10-09,995,High,96.58,1
99531J37ES,37,0,1989666.0,2018-07-30,336,High,78.97,1
30996D83MP,39,0,925909.0,2019-06-18,13,Low,24.58,0
85320O04OG,38,1,1406592.0,2018-03-06,482,High,75.24,1
79310U08QK,54,0,623865.0,2018-05-20,407,Low,51.38,0
74124A93UN,46,0,1345409.0,2018-11-03,240,High,54.36,0
93094V67KV,46,0,1502822.0,2018-11-17,226,High,56.85,0
38080K58AT,51,0,1213751.0,2018-07-13,353,Medium,61.28,0
53708H11IZ,54,0,1803042.0,2018-09-30,274,High,66.68,0
44884S97YQ,62,1,813357.0,2018-04-01,456,Low,53.65,0
51952O29TX,35,1,1191707.0,2018-03-10,478,Medium,71.29,0
27173V28DE,25,1,539264.0,2019-04-26,66,Low,20.41,0
66119P11GE,49,1,986341.0,2018-09-09,295,Medium,44.75,0
44344D57JR,33,1,837035.0,2017-04-11,811,Low,87.66,1
58870U01GS,52,0,1022277.0,2018-05-29,398,Medium,60.88,0
58203M14GN,58,0,447108.0,2018-10-03,271,Low,32.45,0
21007I46PT,43,0,811134.0,2018-05-20,407,Low,58.96,0
71291I38KL,57,0,941447.0,2018-03-06,482,Low,65.86,0
72046A86KL,35,0,1252211.0,2018-11-23,220,Medium,52.86,0
16057F65RU,41,1,851550.0,2019-03-10,113,Low,26.5,0
35809Y80PB,64,0,597441.0,2018-07-04,362,Low,43.39,0
55596O93OM,46,1,1390038.0,2019-01-29,153,High,41.05,0
94487E68MJ,42,0,1604954.0,2019-01-25,157,High,53.35,0
50240H97SQ,29,1,675039.0,2018-11-30,213,Low,34.22,0
86775X83LF,36,1,1323476.0,2018-06-04,392,Medium,66.23,0
53732F98DR,53,1,664211.0,2016-09-19,1015,Low,91.85,1
09162G28LV,65,0,1010576.0,2019-02-08,143,Medium,31.62,0
78622I00CE,56,1,311791.0,2017-07-12,719,Low,69.35,0
82980I08UK,53,1,1726881.0,2018-05-18,409,High,72.53,0
17174V41DW,57,1,1158196.0,2019-05-04,58,Medium,24.78,0
12289D49FN,58,1,1991511.0,2019-06-08,23,High,39.56,0
93434B83IL,57,0,541753.0,2018-04-01,456,Low,53.6,0
40729A88VO,52,1,1544969.0,2018-05-08,419,High,69.83,0
70348D16MF,26,1,684257.0,2018-09-03,301,Low,43.9,0
67071A73XK,38,1,1134504.0,2018-08-13,322,Medium,54.22,0
67079N76FD,43,0,1245243.0,2018-09-27,277,Medium,56.46,0
95725L39QM,48,1,1016422.0,2018-05-14,413,Medium,57.99,0
05756L47BT,59,0,1372898.0,2017-04-06,816,High,92.16,1
75241A87MS,56,0,336186.0,2018-11-09,234,Low,27.32,0
21181O26VC,32,0,912852.0,2018-10-20,254,Low,48.63,0
60533M94UG,64,0,661968.0,2017-07-12,719,Low,78.37,1
59802T69NI,42,1,1361607.0,2018-11-19,224,High,48.7,0
56116P44FZ,55,1,1452019.0,2018-08-28,307,High,56.13,0
21607T60YT,51,0,1073391.0,2016-10-13,991,Medium,95.15,1
22262Z59VY,56,1,1788574.0,2017-12-03,575,High,84.47,1
64845Z68WC,28,1,575268.0,2018-12-03,210,Low,31.94,0
39879E85CD,50,1,1132636.0,2019-06-06,25,Medium,23.17,0
04964Y40ED,52,0,1355417.0,2018-06-18,378,High,66.73,0
23585S30BQ,36,1,1016996.0,2019-03-06,117,Medium,31.37,0
20658O35IW,54,0,1097261.0,2019-03-24,99,Medium,32.09,0
23818S66NM,65,0,1768635.0,2018-07-17,349,High,70.14,0
20304Y55WX,52,0,1663653.0,2017-02-02,879,High,95.67,1
52695X06FP,31,0,794034.0,2018-04-12,445,Low,65.29,0
90504P47ZI,42,1,1083278.0,2018-12-11,202,Medium,39.52,0
50188X21BJ,38,0,858685.0,2017-10-10,629,Low,80.05,1
89374N38QM,55,0,1562311.0,2019-02-22,129,High,45.89,0
53094E23TV,44,0,1899363.0,2018-12-09,204,High,64.72,0
18367T23PM,62,1,1995294.0,2019-04-15,77,High,44.09,0
86828I03TM,42,1,1369008.0,2017-01-02,910,High,94.35,1
92270O55TE,37,1,1402558.0,2018-05-02,425,High,70.7,0
12259H17TT,46,0,1784897.0,2017-11-09,599,High,89.24,1
01977S59IP,31,0,1474209.0,2019-02-10,141,High,51.32,0
04282A24UF,37,1,1471031.0,2018-12-25,188,High,49.05,0
31618U63BS,38,1,1451192.0,2018-08-16,319,High,61.71,0
01965X80EJ,36,1,1563681.0,2018-04-07,450,High,76.11,1
91791E28KP,62,1,1729509.0,2018-05-14,413,High,70.97,0
39057V49UH,47,0,1101548.0,2016-10-20,984,Medium,95.34,1
12812O50GR,65,0,521224.0,2019-02-08,143,Low,21.98,0
36940Q53HW,54,1,502604.0,2017-02-14,867,Low,83.63,1
63182Y26YC,33,0,706015.0,2018-12-25,188,Low,36.59,0
74579G79QB,38,1,1313702.0,2018-01-16,531,Medium,77.24,1
15322K02KR,31,0,1011659.0,2018-05-24,403,Medium,66.31,0
62480W00YQ,33,1,1021065.0,2018-04-29,428,Medium,63.41,0
59781L54AK,60,1,358670.0,2017-12-05,573,Low,54.87,0
73750A81EL,44,0,970293.0,2018-11-29,214,Medium,42.76,0
70255R32PU,57,1,345919.0,2019-03-13,110,Low,15.25,0
79457O82PA,51,1,1858961.0,2019-03-26,97,High,45.65,0
06693P06WI,44,1,899613.0,2019-02-21,130,Low,28.24,0
41871I39PL,35,0,1479440.0,2018-01-31,516,High,82.9,1
90875D28YD,50,0,1928497.0,2018-02-23,493,High,85.53,1
14718T21QH,27,0,1440846.0,2018-05-14,413,High,76.77,1
34121O64WO,48,1,1195014.0,2017-05-30,762,Medium,87.63,1
40730N79DC,65,1,1533308.0,2017-02-12,869,High,92.85,1
43751D45WQ,46,1,1023755.0,2018-08-11,324,Medium,49.5,0
88175F29HO,57,0,1183225.0,2018-07-29,337,Medium,57.38,0
16297N25FC,55,1,1970524.0,2018-03-18,470,High,81.01,1
60322P10RO,34,1,1198616.0,2018-03-24,464,Medium,70.45,0
54579F42PN,25,1,886771.0,2017-01-25,887,Low,91.78,1
05294I79GZ,56,1,647214.0,2018-12-27,186,Low,25.29,0
33390D65GA,35,1,1023760.0,2018-06-26,370,Medium,57.19,0
43061L64SS,34,1,663176.0,2016-12-13,930,Low,90.63,1
20111N92DW,34,0,843424.0,2019-06-28,3,Low,23.28,0
85709Y01XG,33,0,1383916.0,2019-03-11,112,High,45.49,0
16841M12EL,65,1,447636.0,2017-11-25,583,Low,56.8,0
31371S85VP,56,1,998385.0,2018-04-18,439,Medium,58.1,0
84565U94CH,60,1,1982479.0,2017-04-29,793,High,94.02,1
64479A24HB,53,0,927904.0,2018-03-17,471,Low,65.48,0
28038B82FK,40,0,1285276.0,2018-04-11,446,Medium,73.82,0
15537U60KN,64,1,1510406.0,2019-01-24,158,High,39.85,0
06945L41KT,54,1,526135.0,2019-03-23,100,Low,17.62,0
90687P97DK,64,1,1229728.0,2018-04-28,429,Medium,60.68,0
62262N47OM,45,0,912428.0,2017-09-19,650,Low,81.1,1
30685C54JX,44,0,1198244.0,2018-03-17,471,Medium,73.31,0
08879X93QZ,53,0,1968797.0,2019-04-22,70,High,50.55,0
17956T17QP,64,0,601949.0,2018-07-08,358,Low,43.09,0
48955E90SJ,30,1,740957.0,2018-06-23,373,Low,51.73,0
21158S42FS,61,0,1143167.0,2019-03-23,100,Medium,31.57,0
43189S15VO,25,1,823642.0,2018-11-30,213,Low,38.69,0
54976F15MA,38,0,1674926.0,2018-05-02,425,High,79.65,1
51931U95VC,61,0,1258423.0,2018-11-23,220,Medium,46.08,0
75069U20UX,63,0,718517.0,2018-05-29,398,Low,50.43,0
83454T85DH,31,1,1028294.0,2017-03-03,850,Medium,91.2,1
80909B92WE,43,0,1618025.0,2018-08-16,319,High,69.25,0
91972D30HJ,49,1,1106013.0,2018-10-28,246,Medium,42.71,0
26122V91MO,37,1,1207471.0,2019-04-02,90,Medium,32.89,0
78675V01LC,52,0,765253.0,2018-06-03,393,Low,54.03,0
89638M32YR,29,0,842765.0,2018-10-11,263,Low,48.6,0
94970D32EG,36,0,1499717.0,2018-11-25,218,High,58.57,0
54091V36MC,33,1,722358.0,2019-05-10,52,Low,21.09,0
46158Q53FO,46,0,1109848.0,2019-06-04,27,Medium,27.86,0
83100V92KQ,35,0,1133009.0,2018-09-20,284,Medium,56.49,0
34121J65GN,62,1,1827310.0,2018-05-16,411,High,72.8,0
52684B75FN,28,1,526845.0,2017-03-04,849,Low,86.51,1
48301O88OQ,34,0,731395.0,2019-03-11,112,Low,29.91,0
44789B98ZW,27,1,792299.0,2018-03-06,482,Low,64.74,0
83396U46GU,51,0,910497.0,2018-11-27,216,Low,39.68,0
53120C63ZM,54,1,483920.0,2018-11-28,215,Low,24.86,0
58224J72VN,52,1,878008.0,2019-03-31,92,Low,23.17,0
50592O45EU,28,0,818366.0,2019-05-23,39,Low,26.82,0
00599T11ZO,40,0,980023.0,2019-03-27,96,Medium,32.5,0
90893I24FY,34,0,1095600.0,2018-01-31,516,Medium,76.87,1
90736M13PY,58,0,1016797.0,2018-06-14,382,Medium,57.59,0
31989F21YH,63,0,735839.0,2017-12-11,567,Low,67.69,0
10452O19KO,51,0,1563661.0,2019-05-10,52,High,39.14,0
00348B44OJ,42,1,1162427.0,2018-12-13,200,Medium,41.25,0
53812D36DL,57,0,1084834.0,2018-06-22,374,Medium,58.71,0
23998K53CP,47,0,1047332.0,2019-06-22,9,Medium,24.97,0
67521H21EU,44,1,1089882.0,2018-07-25,341,Medium,53.48,0
56253I38CT,36,0,1570894.0,2018-08-14,321,High,70.0,0
71240V37QE,46,0,1663613.0,2016-11-05,968,High,97.16,1
35425V62BF,45,1,1496732.0,2018-06-20,376,High,66.51,0
06208S67VZ,46,0,943400.0,2019-06-26,5,Low,22.94,0
58219C98WR,37,1,1227063.0,2018-10-25,249,Medium,49.24,0
92828R52IK,64,0,1418755.0,2017-08-25,675,High,86.64,1
21011Z38ZW,53,1,945676.0,2018-10-23,251,Low,38.27,0
21261K12DO,61,0,1417016.0,2019-02-10,141,High,41.93,0
30995G71FW,44,0,1561224.0,2018-04-05,452,High,78.55,1
66014M51TW,62,1,636284.0,2019-05-22,40,Low,14.59,0
05208N69AT,34,1,808078.0,2018-09-16,288,Low,43.54,0
39072Y28OO,44,0,1376438.0,2018-09-23,281,High,59.83,0
45685P68SV,27,0,817023.0,2018-03-24,464,Low,68.5,0
82101Q95TN,46,0,1137170.0,2018-05-09,418,Medium,66.95,0
09297N55XW,47,0,1051477.0,2016-09-19,1015,Medium,95.68,1
91086Z20DK,63,0,1970295.0,2016-12-27,916,High,96.9,1
02660C26YI,60,1,1938150.0,2017-11-25,583,High,86.24,1
98640O94DA,55,1,1098200.0,2019-05-27,35,Medium,22.35,0
81871F64HG,29,1,758543.0,2018-05-05,422,Low,57.49,0
82612W24HE,32,0,1496038.0,2018-05-05,422,High,77.48,1
77019K30HY,42,0,1131091.0,2018-06-03,393,Medium,65.44,0
84142B97KB,57,0,1891500.0,2018-01-13,534,High,86.24,1
71545C53TR,57,1,472145.0,2017-10-16,623,Low,63.43,0
05784A69QW,40,1,1560271.0,2017-08-29,671,High,88.43,1
23889X74JP,44,1,899140.0,2019-05-28,34,Low,20.86,0
72772Y12EL,53,0,451500.0,2017-01-20,892,Low,87.14,1
98961K46AI,35,0,629107.0,2018-11-29,214,Low,36.8,0
58872J31TK,29,1,966202.0,2018-12-07,206,Medium,40.41,0
