ID,CURR_AGE,GENDER,ANN_INCOME,DT_MAINT
57288I36BN,28,F,"  718,407 ",5/27/2019
24427C44HL,60,M,"  1,099,822 ",1/30/2019
57769A43WJ,50,M,"  1,444,567 ",3/10/2018
55244P21JL,45,F,"  1,383,743 ",3/12/2018
10878C69QP,60,F,"  1,274,520 ",10/1/2018
00100T87PV,50,F,"  1,555,386 ",2/7/2018
10657V33HY,36,M,"  1,779,657 ",1/4/2017
35568Z72YA,46,F,"  1,568,521 ",7/2/2018
76439P77YY,28,M,"  1,220,202 ",10/27/2018
05814Y15VO,37,F,"  843,116 ",6/1/2018
96427W84TS,29,F,"  1,011,093 ",6/14/2019
95829F20IU,54,F,"  1,751,467 ",9/22/2018
78491J25YN,50,F,"  1,481,056 ",3/9/2018
08349R64SN,51,F,"  1,023,285 ",10/26/2018
77707I89CB,42,F,"  1,008,314 ",5/30/2018
01439E69TI,37,F,"  946,545 ",3/8/2017
37023S20ZM,46,F,"  1,362,399 ",9/18/2018
08736E08DD,30,M,"  1,365,515 ",2/1/2018
83877U15TB,42,F,"  1,157,465 ",4/20/2018
65904G65YK,34,M,"  768,129 ",9/4/2018
61214G80ZN,55,F,"  879,113 ",3/4/2019
85691K09NH,40,F,"  897,965 ",1/19/2019
84131A41RV,47,M,"  1,185,438 ",3/13/2019
34686I34DX,50,F,"  893,051 ",12/6/2018
49913C08MC,25,M,"  1,477,919 ",7/3/2018
45447H02JK,28,F,"  645,555 ",10/7/2016
96590B86BM,60,M,"  616,767 ",2/17/2017
11291R80DZ,41,F,"  1,378,658 ",3/6/2019
37189N42UN,29,M,"  1,493,909 ",2/24/2019
70335V50SH,55,F,"  1,080,001 ",5/19/2019
05274S84AQ,46,F,"  1,039,901 ",7/3/2018
06133O40VE,60,M,"  1,779,440 ",8/29/2018
57289T50EW,61,F,"  1,878,164 ",2/25/2018
73937S12OW,52,F,"  847,439 ",9/3/2018
89927G30NR,56,F,"  1,234,943 ",10/7/2017
31470X06BS,54,M,"  670,864 ",9/21/2017
57578P16IZ,35,M,"  638,483 ",5/5/2019
98708I08VX,47,M,"  1,727,612 ",5/21/2018
36958P04EX,54,F,"  907,788 ",9/24/2018
53758C39CR,48,F,"  1,082,487 ",2/15/2017
99157G28PR,62,F,"  1,170,677 ",4/18/2019
87076V59OJ,25,M,"  620,180 ",8/23/2018
76764B06UP,47,M,"  1,761,085 ",4/7/2019
27675L93OS,63,M,"  1,661,463 ",6/6/2019
69692I70LT,35,M,"  699,810 ",12/13/2018
46154W39MF,59,M,"  1,614,879 ",11/20/2018
52381S90GM,52,M,"  539,135 ",1/25/2019
10457N39YE,62,F,"  565,738 ",11/13/2018
40731K15FZ,46,F,"  1,182,844 ",11/17/2018
06173N47SN,38,M,"  1,491,178 ",12/10/2018
18532K46RW,62,M,"  1,389,961 ",11/20/2017
18976W76SJ,29,F,"  1,118,045 ",11/26/2018
97566A37BR,47,F,"  1,241,037 ",2/3/2019
68707E12OX,34,F,"  1,177,567 ",9/18/2018
30931S34VN,64,F,"  1,497,818 ",4/25/2019
69546Q66TX,34,M,"  1,442,841 ",2/9/2017
59999L00PL,26,F,"  1,149,955 ",11/20/2017
05678X36FB,50,M,"  1,729,710 ",4/17/2018
53776P44MZ,50,F,"  842,591 ",11/3/2016
42983W11JW,32,M,"  728,377 ",10/1/2018
20545D80RB,61,M,"  772,565 ",8/4/2017
11046E28HA,54,F,"  1,550,310 ",3/12/2019
93609N63NP,60,F,"  1,993,500 ",6/19/2019
80643O81AC,31,F,"  989,465 ",1/1/2019
00393E86UP,41,F,"  1,532,052 ",4/3/2019
46408E72XM,45,M,"  1,847,655 ",1/23/2018
27402X64HA,53,M,"  1,850,319 ",9/22/2018
05626Y20CY,55,F,"  396,146 ",7/15/2018
93004L90PZ,63,F,"  965,953 ",11/11/2016
98443X71XZ,52,M,"  1,295,563 ",3/15/2018
25775Y84LZ,29,M,"  1,061,035 ",4/16/2017
35718W19QL,41,F,"  1,377,534 ",8/25/2018
29231R10EV,33,M,"  665,540 ",9/24/2018
48748J87TG,37,F,"  869,555 ",10/20/2018
11807D05SY,64,F,"  478,022 ",6/21/2017
21905X90RO,53,F,"  942,670 ",5/17/2018
10580L29VV,53,F,"  1,589,847 ",3/7/2018
81228D18BO,48,F,"  1,286,785 ",3/15/2017
34057Z27MM,47,M,"  1,126,751 ",2/20/2018
12167K01BK,54,M,"  846,810 ",7/19/2018
06265P28JU,44,F,"  1,323,464 ",5/8/2017
82049Z51KX,46,M,"  1,831,145 ",4/10/2018
83239R16ZW,47,M,"  825,272 ",8/4/2018
49558V29YX,53,F,"  1,080,442 ",7/10/2017
40464Z35MR,43,F,"  974,609 ",8/20/2018
53644Q78VY,45,F,"  964,490 ",6/20/2018
69142F16CA,36,M,"  1,551,754 ",3/13/2018
60492C50GZ,65,F,"  1,723,412 ",2/26/2018
71614Z31OM,41,F,"  926,999 ",5/22/2018
03416B32RP,64,M,"  1,779,203 ",10/12/2018
11077F22QA,50,M,"  1,718,761 ",10/30/2017
08303G30SE,29,M,"  1,488,480 ",5/7/2018
44241A27AO,51,F,"  892,474 ",11/17/2018
71374A23QL,34,M,"  667,843 ",11/13/2018
45803L99EN,36,F,"  1,331,330 ",6/26/2019
27196C53UI,51,M,"  1,930,536 ",3/27/2019
48370R51HV,63,M,"  590,030 ",5/14/2019
70649O76MN,63,M,"  1,835,340 ",7/13/2017
82256A49ZW,43,F,"  1,222,677 ",3/3/2019
38455W93II,43,M,"  1,230,491 ",3/6/2018
56315E12TT,65,M,"  1,456,124 ",10/21/2018
05941J55YU,59,M,"  1,881,539 ",2/19/2019
25776I29OU,28,F,"  766,852 ",6/1/2019
34172K69PZ,57,F,"  1,666,075 ",2/5/2019
72874V43ML,27,F,"  802,199 ",2/3/2019
97873N72SX,29,M,"  1,132,280 ",11/4/2018
26516G80GC,51,F,"  712,229 ",12/7/2018
40274P55MR,29,M,"  806,350 ",10/18/2018
54543P85JE,33,F,"  534,381 ",3/9/2018
19722J93DS,41,F,"  1,385,414 ",11/5/2017
37540D78FC,42,M,"  1,028,198 ",11/20/2018
13796B47JK,59,F,"  1,984,906 ",5/18/2018
29917A71GR,63,F,"  1,888,073 ",9/27/2018
59447S66XJ,25,M,"  699,550 ",5/20/2018
64886B88KU,41,M,"  874,875 ",7/16/2018
46269H09RK,41,F,"  1,319,138 ",9/7/2018
45336V08BD,62,M,"  678,474 ",2/21/2018
97983J80LU,34,M,"  1,471,429 ",12/6/2018
51286U10JL,38,F,"  954,141 ",4/27/2019
43022H92ZM,25,M,"  753,347 ",11/7/2016
58346H15ZX,61,M,"  1,295,814 ",7/1/2018
23166I63YJ,54,F,"  476,314 ",4/20/2018
52462Y27ZY,35,F,"  971,872 ",12/20/2018
70920O55KX,54,M,"  571,604 ",12/27/2018
98709G20PI,26,F,"  1,085,575 ",5/14/2019
55930E81CD,39,M,"  1,653,474 ",6/9/2019
36210A90KQ,64,F,"  1,766,409 ",2/4/2019
62781M09BY,26,M,"  850,135 ",3/31/2018
77048U79FJ,41,F,"  1,213,824 ",6/7/2018
81935K44NP,33,M,"  1,005,254 ",7/8/2018
16888Q61UV,62,F,"  439,156 ",2/4/2018
65928O21SR,49,F,"  1,184,486 ",5/25/2019
20018U08XQ,29,M,"  1,358,450 ",7/16/2018
56924D67EA,41,F,"  1,397,190 ",4/23/2018
29564G41BG,50,M,"  1,847,675 ",1/20/2018
71896F80PA,26,F,"  557,754 ",8/13/2018
44742A00BG,59,F,"  598,371 ",1/15/2019
11658J08WM,64,M,"  669,219 ",12/23/2018
55452O90YS,26,M,"  1,042,011 ",11/13/2018
74294H58DY,63,F,"  750,529 ",1/18/2019
15977K59ZH,42,M,"  1,655,520 ",11/4/2018
95668C24JX,65,M,"  574,216 ",5/25/2018
07424U03NQ,65,F,"  904,445 ",2/19/2019
01981T29OJ,46,F,"  881,425 ",2/16/2018
29186W84KX,52,M,"  414,489 ",3/17/2018
92243B76RF,28,F,"  934,817 ",12/15/2018
28205S80HO,43,M,"  1,480,846 ",9/15/2016
37818Z75NC,42,F,"  1,208,115 ",2/25/2019
67259S33ZM,37,F,"  1,023,200 ",8/30/2018
27953J71OC,36,F,"  1,026,002 ",4/10/2019
58295S87JC,41,F,"  1,527,470 ",10/9/2016
99531J37ES,37,M,"  1,989,666 ",7/30/2018
30996D83MP,39,M,"  925,909 ",6/18/2019
85320O04OG,38,F,"  1,406,592 ",3/6/2018
79310U08QK,54,M,"  623,865 ",5/20/2018
74124A93UN,46,M,"  1,345,409 ",11/3/2018
93094V67KV,46,M,"  1,502,822 ",11/17/2018
38080K58AT,51,M,"  1,213,751 ",7/13/2018
53708H11IZ,54,M,"  1,803,042 ",9/30/2018
44884S97YQ,62,F,"  813,357 ",4/1/2018
51952O29TX,35,F,"  1,191,707 ",3/10/2018
27173V28DE,25,F,"  539,264 ",4/26/2019
66119P11GE,49,F,"  986,341 ",9/9/2018
44344D57JR,33,F,"  837,035 ",4/11/2017
58870U01GS,52,M,"  1,022,277 ",5/29/2018
58203M14GN,58,M,"  447,108 ",10/3/2018
21007I46PT,43,M,"  811,134 ",5/20/2018
71291I38KL,57,M,"  941,447 ",3/6/2018
72046A86KL,35,M,"  1,252,211 ",11/23/2018
16057F65RU,41,F,"  851,550 ",3/10/2019
35809Y80PB,64,M,"  597,441 ",7/4/2018
55596O93OM,46,F,"  1,390,038 ",1/29/2019
94487E68MJ,42,M,"  1,604,954 ",1/25/2019
50240H97SQ,29,F,"  675,039 ",11/30/2018
86775X83LF,36,F,"  1,323,476 ",6/4/2018
53732F98DR,53,F,"  664,211 ",9/19/2016
09162G28LV,65,M,"  1,010,576 ",2/8/2019
78622I00CE,56,F,"  311,791 ",7/12/2017
82980I08UK,53,F,"  1,726,881 ",5/18/2018
17174V41DW,57,F,"  1,158,196 ",5/4/2019
12289D49FN,58,F,"  1,991,511 ",6/8/2019
93434B83IL,57,M,"  541,753 ",4/1/2018
40729A88VO,52,F,"  1,544,969 ",5/8/2018
70348D16MF,26,F,"  684,257 ",9/3/2018
67071A73XK,38,F,"  1,134,504 ",8/13/2018
67079N76FD,43,M,"  1,245,243 ",9/27/2018
95725L39QM,48,F,"  1,016,422 ",5/14/2018
05756L47BT,59,M,"  1,372,898 ",4/6/2017
75241A87MS,56,M,"  336,186 ",11/9/2018
21181O26VC,32,M,"  912,852 ",10/20/2018
60533M94UG,64,M,"  661,968 ",7/12/2017
59802T69NI,42,F,"  1,361,607 ",11/19/2018
56116P44FZ,55,F,"  1,452,019 ",8/28/2018
21607T60YT,51,M,"  1,073,391 ",10/13/2016
22262Z59VY,56,F,"  1,788,574 ",12/3/2017
64845Z68WC,28,F,"  575,268 ",12/3/2018
39879E85CD,50,F,"  1,132,636 ",6/6/2019
04964Y40ED,52,M,"  1,355,417 ",6/18/2018
23585S30BQ,36,F,"  1,016,996 ",3/6/2019
20658O35IW,54,M,"  1,097,261 ",3/24/2019
23818S66NM,65,M,"  1,768,635 ",7/17/2018
20304Y55WX,52,M,"  1,663,653 ",2/2/2017
52695X06FP,31,M,"  794,034 ",4/12/2018
90504P47ZI,42,F,"  1,083,278 ",12/11/2018
50188X21BJ,38,M,"  858,685 ",10/10/2017
89374N38QM,55,M,"  1,562,311 ",2/22/2019
53094E23TV,44,M,"  1,899,363 ",12/9/2018
18367T23PM,62,F,"  1,995,294 ",4/15/2019
86828I03TM,42,F,"  1,369,008 ",1/2/2017
92270O55TE,37,F,"  1,402,558 ",5/2/2018
12259H17TT,46,M,"  1,784,897 ",11/9/2017
01977S59IP,31,M,"  1,474,209 ",2/10/2019
04282A24UF,37,F,"  1,471,031 ",12/25/2018
31618U63BS,38,F,"  1,451,192 ",8/16/2018
01965X80EJ,36,F,"  1,563,681 ",4/7/2018
91791E28KP,62,F,"  1,729,509 ",5/14/2018
39057V49UH,47,M,"  1,101,548 ",10/20/2016
12812O50GR,65,M,"  521,224 ",2/8/2019
36940Q53HW,54,F,"  502,604 ",2/14/2017
63182Y26YC,33,M,"  706,015 ",12/25/2018
74579G79QB,38,F,"  1,313,702 ",1/16/2018
15322K02KR,31,M,"  1,011,659 ",5/24/2018
62480W00YQ,33,F,"  1,021,065 ",4/29/2018
59781L54AK,60,F,"  358,670 ",12/5/2017
73750A81EL,44,M,"  970,293 ",11/29/2018
70255R32PU,57,F,"  345,919 ",3/13/2019
79457O82PA,51,F,"  1,858,961 ",3/26/2019
06693P06WI,44,F,"  899,613 ",2/21/2019
41871I39PL,35,M,"  1,479,440 ",1/31/2018
90875D28YD,50,M,"  1,928,497 ",2/23/2018
14718T21QH,27,M,"  1,440,846 ",5/14/2018
34121O64WO,48,F,"  1,195,014 ",5/30/2017
40730N79DC,65,F,"  1,533,308 ",2/12/2017
43751D45WQ,46,F,"  1,023,755 ",8/11/2018
88175F29HO,57,M,"  1,183,225 ",7/29/2018
16297N25FC,55,F,"  1,970,524 ",3/18/2018
60322P10RO,34,F,"  1,198,616 ",3/24/2018
54579F42PN,25,F,"  886,771 ",1/25/2017
05294I79GZ,56,F,"  647,214 ",12/27/2018
33390D65GA,35,F,"  1,023,760 ",6/26/2018
43061L64SS,34,F,"  663,176 ",12/13/2016
20111N92DW,34,M,"  843,424 ",6/28/2019
85709Y01XG,33,M,"  1,383,916 ",3/11/2019
16841M12EL,65,F,"  447,636 ",11/25/2017
31371S85VP,56,F,"  998,385 ",4/18/2018
84565U94CH,60,F,"  1,982,479 ",4/29/2017
64479A24HB,53,M,"  927,904 ",3/17/2018
28038B82FK,40,M,"  1,285,276 ",4/11/2018
15537U60KN,64,F,"  1,510,406 ",1/24/2019
06945L41KT,54,F,"  526,135 ",3/23/2019
90687P97DK,64,F,"  1,229,728 ",4/28/2018
62262N47OM,45,M,"  912,428 ",9/19/2017
30685C54JX,44,M,"  1,198,244 ",3/17/2018
08879X93QZ,53,M,"  1,968,797 ",4/22/2019
17956T17QP,64,M,"  601,949 ",7/8/2018
48955E90SJ,30,F,"  740,957 ",6/23/2018
21158S42FS,61,M,"  1,143,167 ",3/23/2019
43189S15VO,25,F,"  823,642 ",11/30/2018
54976F15MA,38,M,"  1,674,926 ",5/2/2018
51931U95VC,61,M,"  1,258,423 ",11/23/2018
75069U20UX,63,M,"  718,517 ",5/29/2018
83454T85DH,31,F,"  1,028,294 ",3/3/2017
80909B92WE,43,M,"  1,618,025 ",8/16/2018
91972D30HJ,49,F,"  1,106,013 ",10/28/2018
26122V91MO,37,F,"  1,207,471 ",4/2/2019
78675V01LC,52,M,"  765,253 ",6/3/2018
89638M32YR,29,M,"  842,765 ",10/11/2018
94970D32EG,36,M,"  1,499,717 ",11/25/2018
54091V36MC,33,F,"  722,358 ",5/10/2019
46158Q53FO,46,M,"  1,109,848 ",6/4/2019
83100V92KQ,35,M,"  1,133,009 ",9/20/2018
34121J65GN,62,F,"  1,827,310 ",5/16/2018
52684B75FN,28,F,"  526,845 ",3/4/2017
48301O88OQ,34,M,"  731,395 ",3/11/2019
44789B98ZW,27,F,"  792,299 ",3/6/2018
83396U46GU,51,M,"  910,497 ",11/27/2018
53120C63ZM,54,F,"  483,920 ",11/28/2018
58224J72VN,52,F,"  878,008 ",3/31/2019
50592O45EU,28,M,"  818,366 ",5/23/2019
00599T11ZO,40,M,"  980,023 ",3/27/2019
90893I24FY,34,M,"  1,095,600 ",1/31/2018
90736M13PY,58,M,"  1,016,797 ",6/14/2018
31989F21YH,63,M,"  735,839 ",12/11/2017
10452O19KO,51,M,"  1,563,661 ",5/10/2019
00348B44OJ,42,F,"  1,162,427 ",12/13/2018
53812D36DL,57,M,"  1,084,834 ",6/22/2018
23998K53CP,47,M,"  1,047,332 ",6/22/2019
67521H21EU,44,F,"  1,089,882 ",7/25/2018
56253I38CT,36,M,"  1,570,894 ",8/14/2018
71240V37QE,46,M,"  1,663,613 ",11/5/2016
35425V62BF,45,F,"  1,496,732 ",6/20/2018
06208S67VZ,46,M,"  943,400 ",6/26/2019
58219C98WR,37,F,"  1,227,063 ",10/25/2018
92828R52IK,64,M,"  1,418,755 ",8/25/2017
21011Z38ZW,53,F,"  945,676 ",10/23/2018
21261K12DO,61,M,"  1,417,016 ",2/10/2019
30995G71FW,44,M,"  1,561,224 ",4/5/2018
66014M51TW,62,F,"  636,284 ",5/22/2019
05208N69AT,34,F,"  808,078 ",9/16/2018
39072Y28OO,44,M,"  1,376,438 ",9/23/2018
45685P68SV,27,M,"  817,023 ",3/24/2018
82101Q95TN,46,M,"  1,137,170 ",5/9/2018
09297N55XW,47,M,"  1,051,477 ",9/19/2016
91086Z20DK,63,M,"  1,970,295 ",12/27/2016
02660C26YI,60,F,"  1,938,150 ",11/25/2017
98640O94DA,55,F,"  1,098,200 ",5/27/2019
81871F64HG,29,F,"  758,543 ",5/5/2018
82612W24HE,32,M,"  1,496,038 ",5/5/2018
77019K30HY,42,M,"  1,131,091 ",6/3/2018
84142B97KB,57,M,"  1,891,500 ",1/13/2018
71545C53TR,57,F,"  472,145 ",10/16/2017
05784A69QW,40,F,"  1,560,271 ",8/29/2017
23889X74JP,44,F,"  899,140 ",5/28/2019
72772Y12EL,53,M,"  451,500 ",1/20/2017
98961K46AI,35,M,"  629,107 ",11/29/2018
58872J31TK,29,F,"  966,202 ",12/7/2018
29275H50ZN,63,F,"  1,519,852 ",4/29/2018
44204X95OM,59,M,"  951,805 ",5/5/2018
18524O16IA,62,F,"  1,083,281 ",12/19/2018
97010O76JL,49,F,"  1,264,626 ",3/2/2017
52977E41QU,46,F,"  873,120 ",5/8/2018
01466K86TM,31,M,"  1,190,821 ",5/15/2018
85182U39RA,64,M,"  1,172,536 ",2/12/2019
69871G49FB,33,M,"  631,799 ",8/25/2017
02251W89LL,34,M,"  686,366 ",9/14/2018
65868X76SK,59,M,"  868,373 ",5/13/2018
47014R63IC,29,F,"  1,008,172 ",8/31/2017
78488T17HM,39,F,"  1,559,913 ",6/13/2019
95852N42OC,40,F,"  1,221,004 ",10/25/2017
10017P18JP,58,F,"  1,752,373 ",1/22/2018
77831Q82LE,41,M,"  1,224,129 ",10/11/2018
45076R19IN,56,F,"  878,877 ",5/10/2018
16363U88GF,65,M,"  944,075 ",11/27/2018
28224O92KZ,41,M,"  1,218,208 ",4/26/2018
33147T15EO,31,F,"  911,605 ",4/3/2018
13677P80MT,29,M,"  1,263,155 ",5/16/2018
06436W92EG,49,F,"  963,884 ",7/12/2017
51936G24LO,40,M,"  1,212,559 ",10/10/2017
85715Q98EI,50,M,"  1,083,578 ",3/8/2018
12537R36ZQ,60,M,"  631,654 ",7/13/2018
58259V78YI,27,F,"  946,906 ",10/2/2016
82910B45LK,35,M,"  1,187,704 ",12/15/2017
12599C33KL,47,F,"  855,544 ",2/3/2019
17246Y35MX,46,M,"  1,107,374 ",8/6/2018
52192D74DX,59,F,"  1,115,543 ",4/18/2019
14545G47AH,41,F,"  980,535 ",6/29/2017
49030G80QM,56,M,"  1,508,414 ",1/27/2019
47874J15VI,45,F,"  1,238,310 ",12/17/2018
95636M63ZG,57,M,"  722,837 ",6/23/2018
19858E99ZO,56,M,"  752,610 ",5/27/2019
34385R17JA,40,F,"  881,131 ",11/4/2018
72789H36VA,51,F,"  789,763 ",4/1/2019
74703N56WW,29,F,"  628,766 ",6/11/2018
02486H90FG,60,F,"  1,610,133 ",10/9/2018
60549G58VU,55,F,"  436,927 ",5/19/2018
67838E14YF,51,F,"  1,373,055 ",5/30/2019
67613L64RF,28,M,"  814,022 ",3/20/2018
22148A43KQ,54,M,"  1,393,613 ",6/30/2019
70427F23RG,63,F,"  690,260 ",11/2/2018
51139U64OJ,60,F,"  1,916,529 ",4/16/2018
89497A67RY,56,F,"  1,407,252 ",4/26/2018
18887G85BS,64,M,"  661,561 ",12/31/2016
33194Z84NY,46,M,"  1,504,408 ",4/7/2018
17784N68UP,31,F,"  945,035 ",11/23/2018
45856O04WJ,52,F,"  1,102,021 ",12/4/2017
79325W85WA,36,F,"  1,448,786 ",6/24/2018
86400K44TT,41,M,"  1,990,949 ",3/30/2019
35196W94AE,39,F,"  1,528,644 ",9/14/2018
13520W02HM,31,F,"  1,030,084 ",12/28/2017
38736C98KT,48,F,"  1,115,344 ",9/15/2016
91283H94GL,27,M,"  1,305,985 ",10/10/2018
55635P52JC,50,F,"  987,184 ",11/4/2018
65415U14TP,47,M,"  1,394,544 ",2/19/2019
67253M51JC,39,F,"  913,132 ",11/30/2018
06230N66IF,51,F,"  1,477,694 ",6/27/2018
59152H63SD,56,M,"  508,117 ",12/27/2016
37928B16ZO,50,M,"  1,981,161 ",7/26/2018
29051R31OJ,25,F,"  1,132,674 ",5/26/2019
25315D41VP,54,F,"  1,309,918 ",9/17/2016
21109K43TW,29,M,"  1,421,444 ",4/18/2018
68504J42PG,45,F,"  816,974 ",6/16/2018
87066T99TA,26,F,"  667,631 ",11/10/2017
06720N53AC,51,M,"  1,689,384 ",3/14/2017
01073X91NN,26,M,"  1,249,082 ",5/10/2019
80447K01UU,30,F,"  1,132,036 ",4/21/2019
03757J84ZD,53,M,"  828,331 ",5/6/2019
62639R34FM,34,F,"  932,377 ",6/17/2018
59653X34YP,51,F,"  1,841,173 ",7/19/2018
04704D71YW,40,M,"  1,326,015 ",10/1/2018
68035P56KO,53,M,"  868,889 ",12/1/2016
59824G53GX,44,F,"  1,346,697 ",7/10/2018
13766X00UO,58,M,"  1,761,407 ",10/30/2016
44365X98XP,46,F,"  1,105,033 ",5/24/2018
39941R12LB,41,M,"  1,625,262 ",11/26/2018
90988M10RN,32,M,"  674,792 ",4/26/2018
62517N10NG,30,F,"  836,428 ",4/14/2019
51258C81DL,37,F,"  841,395 ",4/15/2019
45147M11GK,52,M,"  1,248,595 ",12/22/2018
07015D77SA,47,M,"  970,137 ",8/19/2017
25925E97FN,36,F,"  858,980 ",1/16/2019
64617H01AW,27,M,"  1,093,976 ",2/19/2018
79443T95YT,26,F,"  1,096,888 ",4/6/2019
31331Q78QW,26,M,"  725,310 ",6/4/2018
05310H07GK,65,M,"  743,507 ",11/9/2018
17566W72YI,37,F,"  1,413,736 ",5/4/2017
09473B21BQ,38,M,"  1,537,613 ",6/24/2018
19160F82CF,54,M,"  1,350,727 ",11/25/2018
69092Z71DQ,38,F,"  1,466,540 ",10/21/2017
33959Z55WP,64,F,"  370,059 ",7/8/2018
00164J47FL,65,F,"  313,558 ",4/16/2019
52830O66YE,37,M,"  1,480,270 ",2/19/2018
25269U36FH,45,M,"  1,618,561 ",12/25/2018
47711A55VY,31,F,"  963,900 ",9/26/2018
35036V39TJ,27,F,"  685,556 ",3/22/2019
88978A65VE,34,F,"  1,064,412 ",5/13/2018
25935I32VJ,28,F,"  926,803 ",8/22/2017
42233G56SY,54,F,"  1,553,425 ",10/21/2016
11820M68VF,52,F,"  1,149,787 ",10/24/2018
65206O21CE,52,F,"  1,755,456 ",10/23/2017
78899D26JX,30,F,"  802,343 ",8/11/2018
33160Y15NJ,30,M,"  1,180,355 ",10/15/2018
63519K68HF,27,F,"  589,959 ",4/7/2019
65033S05QX,33,M,"  682,970 ",10/14/2017
90958D94VX,25,F,"  549,972 ",4/9/2018
